epoch,valid_mean,valid_std,test_mean,test_std,ensemble
1,0.6398445302208743,0.0037337057011988424,0.6712511351998919,0.003842947174303321,0.6718141943462215
2,0.7179741445332843,0.004818051393678777,0.6976324077831237,0.002363837774508101,0.6981450350704308
3,0.7409806083999633,0.003995869004569518,0.7315526636137036,0.0032938685903325378,0.7329005081831006
4,0.7566265355512667,0.0041192931541446445,0.7249639634417328,0.0033833871776922804,0.725867099491817
5,0.7630825904481817,0.003887822009115257,0.7392679651421173,0.0027867505821206097,0.7405019998840646
6,0.7302242440952119,0.0038876844373334357,0.7491476822599656,0.004097841911760275,0.7506192877707573
7,0.7465877829856324,0.006598637875681071,0.756357795683342,0.0030195947051320318,0.7577087318609549
8,0.753381582575131,0.004389937752279073,0.7785642378219622,0.003002816709623729,0.779995362587676
9,0.7791417761847869,0.0061594203481073395,0.7719527370393987,0.0031526909266750757,0.7733522694336559
10,0.7806852924057225,0.005281282825893107,0.7778921028732634,0.002933558788624534,0.779404092516376
11,0.7736260454002389,0.0031195354411099004,0.7832165285104246,0.002727058027837448,0.7846578942283537
12,0.7670606255552491,0.0048536076153558394,0.7836143798427144,0.002656061154461502,0.7856848878325895
13,0.7859371074962473,0.003768816528833349,0.775093714374046,0.004342685130768059,0.777096979885224
14,0.7829289587354104,0.003570952130956217,0.7874213089096285,0.0036528780724694693,0.7892199486020133
15,0.774676806666054,0.006465717810183561,0.7880661990609241,0.0025144543352623827,0.7896489092419763
16,0.783500597371565,0.0036546213740185724,0.7871275095163565,0.0028632131814100023,0.7891194713349952
17,0.7730930061575222,0.0026690459999712756,0.7868484918748673,0.0030520428358741356,0.7882287017177749
18,0.786738044910088,0.0026316411386690225,0.7826404266419338,0.003064067778630586,0.7837922439278882
19,0.7732567472352418,0.004530828705904462,0.779965026182057,0.0028980102749923274,0.7812977025486444
20,0.7824536654106546,0.002843949948463652,0.7942896063996291,0.002361091455865445,0.7961180994338491
21,0.7909547222988083,0.0030934687267835576,0.786351709079667,0.0030362292577208274,0.7878036055880818
22,0.7788746438746439,0.0046299706855584075,0.7920101250169072,0.002723825298706063,0.7937665449345932
23,0.7828909720307571,0.0044256114396989624,0.7893723069194056,0.0041945348684724595,0.7907406333932332
24,0.7820480654351621,0.0035451700968138398,0.789734314918942,0.00350347337340213,0.7911686279056286
25,0.7850122537756946,0.002872507049396158,0.7873565783626069,0.002518099999974363,0.7887465460939461
26,0.7839379039916674,0.004279859216833847,0.7860085405676965,0.004704241442327665,0.7876992638107937
27,0.7844959103023619,0.0027638615352860575,0.7882189438293432,0.004704042196471591,0.7898402025003383
28,0.7818150905247679,0.004165500164182439,0.7866281181767241,0.002867417013053921,0.7882634823102042
29,0.7837226970560305,0.0028252569690888994,0.7873379321005546,0.0025874668272197576,0.788707900991247
30,0.7826912354869344,0.0027526217182090376,0.78580372152339,0.002925117330318981,0.7872316580681313
31,0.7842615568422021,0.005125571427345701,0.7884007690375437,0.002944465782812451,0.7898730508376325
32,0.7902073951536318,0.003833686051779101,0.785933086004676,0.003228643100280657,0.7875871930129654
33,0.7867639310112429,0.0049126491815607186,0.7865730489053775,0.0034651207096012917,0.7881146986648118
34,0.7858151824280857,0.004110526959180409,0.7858104844163624,0.0029031513531401526,0.78700558421734
35,0.784771467083295,0.0040447113391030905,0.786780186655846,0.003145799249107054,0.788181361466968
36,0.7838669852648346,0.0038922626645865785,0.7839680791451704,0.0033483406071839915,0.785683921705022
37,0.788375762031676,0.0033703454686411995,0.7803480957625645,0.002494793429641402,0.7818599887929202
38,0.7887881015838005,0.0038267694206809665,0.7803116727532704,0.0022265942442923903,0.7820184337139877
39,0.7886289556719663,0.0043786089195134515,0.7831922787084807,0.0048264073798918875,0.7850636678066971
40,0.7907955763869743,0.0033774169720272645,0.7841344463122911,0.0025336000848996416,0.7854018124553166
