epoch,valid_mean,valid_std,test_mean,test_std,ensemble
1,0.742918696198266,0.00461643280225422,0.6662308465209746,0.0032052704404127393,0.6663835912893937
2,0.7333400729099655,0.004451283017917408,0.6756122350395146,0.0034054595853729337,0.6756960949123724
3,0.6892235701375486,0.00895215330401051,0.7070134098506365,0.005729224665004419,0.7082449326609085
4,0.7333121955702601,0.0050134506419366445,0.7200156512665933,0.0030690937560563813,0.7212683322705931
5,0.7353535214287902,0.005456630508979771,0.7106398662879447,0.0028286271783829688,0.7114573068227928
6,0.747272309530374,0.004559973778329953,0.7502009545340368,0.0017466303368403836,0.7509178211891099
7,0.7489377508194712,0.0043269258109296434,0.7607614051359342,0.001825740324101877,0.7617780611751976
8,0.746776644303526,0.004175885477413099,0.7683220296407937,0.0033162942327175414,0.7695399300523641
9,0.7330366387893268,0.0040160840872823945,0.7890519390180278,0.0033011650289405015,0.7905068305219022
10,0.7563013509787703,0.004574554938878985,0.7855313701621162,0.003920761397676976,0.7870152454930149
11,0.7579456545047942,0.004460938887113659,0.7944249608718336,0.0034075892142499385,0.7956930033041562
12,0.7640749931072511,0.004215843978727251,0.7832176878635055,0.002555446683574075,0.7847583714953723
13,0.7668417424869037,0.003655840295559624,0.781713427240933,0.0038470989151397814,0.7831004965895698
14,0.7669760745029561,0.0038611721223459814,0.7928858230440747,0.0031323271282393617,0.7941800475334764
15,0.7716786140979689,0.003548478713934561,0.7893179139373564,0.00301681092653754,0.7909087395899754
16,0.7665928376681065,0.0037766252862009475,0.7899064788514675,0.003065394495945247,0.7915579773153247
17,0.775400238948626,0.0035869398933289992,0.7880757637238421,0.002172134322579899,0.7898827121133074
18,0.7651033912324235,0.0040849893403019765,0.7853780457171564,0.0018743142334975886,0.7867389330087146
19,0.7597515546977912,0.004008671896180498,0.7768346762506522,0.004169426587720352,0.7782447394353951
20,0.7664248077688939,0.003291440939937178,0.7942167603810406,0.0037610604909709003,0.7959538577473769
21,0.7621796403516833,0.0033007903322407398,0.7839202558305798,0.003835338402378085,0.7854307962823411
22,0.7716021811720737,0.003662547770492315,0.7885044345255348,0.003114403863430248,0.7899097636851969
23,0.7771710627086972,0.003983272247234969,0.782360442872877,0.0024057887068915456,0.7833304349506309
24,0.7789621051986643,0.0034715412868818996,0.7900949703398836,0.003786124757421223,0.791570536973702
25,0.775146585791747,0.0038564408614478168,0.7875778215755609,0.0028032088747401464,0.7891040132939153
26,0.7780279079741446,0.003733952431284071,0.792736363109385,0.002564980485071808,0.7939211253453906
27,0.7857128634010355,0.0037918173783405653,0.7845341332869592,0.0037083101461896774,0.7856935829806968
28,0.7831882792635481,0.0036720347944770824,0.7894210963615635,0.002258433233925749,0.7904063532548838
29,0.7725921330760039,0.002019654401785132,0.7850878209958843,0.002945716774345227,0.7862355805460554
30,0.7829790460435622,0.004725059326517916,0.7866840569628815,0.002134935914820102,0.7878151991188916
31,0.7802691235486934,0.003884349122875826,0.7847903503178559,0.0031719712922478895,0.7860220663536414
32,0.781642771804062,0.004065093475676415,0.7858332850269549,0.003919438994230402,0.7869901261762604
33,0.7778378212786815,0.005122224576345274,0.7849665719861652,0.00341718422640993,0.7860066083125616
34,0.7784071623318934,0.001998612562419126,0.7873368693602304,0.002906176905359063,0.7883156531988483
35,0.7790,0.0020,0.7891,0.0027,0.7903
36,0.7787418435805533,0.003143111768653219,0.7868216335284911,0.002043354561182018,0.7883407725156029
37,0.7795331311460345,0.003092010681467821,0.7898218460765559,0.0026064053359211403,0.7908662299770061
38,0.7829099653830837,0.0034022319965439527,0.7877504685718701,0.004400328738255926,0.7894324966668599
39,0.7806626229206874,0.004210949454616193,0.786490638223871,0.002861251212476016,0.7882151759318299
40,0.7824758753791011,0.0034592606829498143,0.7880690008308697,0.002417200204479398,0.7895870770776574
